turn,player,money,tap
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1550,1148
3,1,1585,1203
4,0,1550,1148
4,1,1585,1203
5,0,1550,1148
5,1,1585,1203
6,0,1500,1148
6,1,1585,1203
7,0,1680,2088
7,1,1255,1203
8,0,1680,2088
8,1,1255,1203
9,0,1680,2088
9,1,1255,1203
10,0,1680,2088
10,1,1255,1203
11,0,1680,2088
11,1,1255,1203
12,0,1680,2088
12,1,1255,1203
13,0,1680,2088
13,1,1205,1203
14,0,1480,2088
14,1,1405,1203
15,0,1480,2088
15,1,1405,1203
16,0,1230,2088
16,1,1855,1203
17,0,1230,2088
17,1,1855,1203
18,0,1230,2088
18,1,1855,1203
19,0,1230,2088
19,1,1855,1203
20,0,1230,2088
20,1,1855,1203
21,0,1230,2088
21,1,1855,1203
22,0,1230,2088
22,1,1855,1203
23,0,1230,2088
23,1,1805,1203
24,0,1230,2088
24,1,1805,1203
25,0,1230,2088
25,1,1805,1203
26,0,1430,2088
26,1,1805,1203
27,0,1430,2088
27,1,1805,1203
28,0,1430,2088
28,1,1805,1203
29,0,1430,2088
29,1,1805,1203
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1550,1148
3,1,1585,1203
4,0,1550,1148
4,1,1585,1203
5,0,1550,1148
5,1,1585,1203
6,0,1550,1148
6,1,1585,1203
7,0,1550,1148
7,1,1585,1203
8,0,1550,1148
8,1,1585,1203
9,0,1550,1148
9,1,1585,1203
10,0,1550,1148
10,1,1585,1203
11,0,1550,1148
11,1,1585,1203
12,0,1350,1148
12,1,1685,1528
13,0,1350,1148
13,1,1785,1928
14,0,1550,1148
14,1,1785,1928
15,0,1550,1148
15,1,1785,1928
16,0,1500,1148
16,1,1835,1928
17,0,1755,1618
17,1,1505,1928
18,0,1755,1618
18,1,1505,1928
19,0,1755,1618
19,1,1505,1928
20,0,1755,1618
20,1,1505,1928
21,0,1755,1618
21,1,1705,1928
22,0,1755,1618
22,1,1705,1928
23,0,1805,1618
23,1,1655,1928
24,0,1755,1618
24,1,1655,1928
25,0,1755,1618
25,1,1655,1928
26,0,1755,1618
26,1,1655,1928
27,0,1755,1618
27,1,1655,1928
28,0,1755,1618
28,1,1655,1928
29,0,1755,1618
29,1,1655,1928
0,0,1550,1148
0,1,1585,1203
1,0,1600,1148
1,1,1535,1203
2,0,1600,1148
2,1,1535,1203
3,0,1780,2088
3,1,1205,1203
4,0,1680,2088
4,1,1205,1203
5,0,1680,2088
5,1,1205,1203
6,0,1430,2088
6,1,1655,1203
7,0,1430,2088
7,1,1855,1203
8,0,1430,2088
8,1,1855,1203
9,0,1430,2088
9,1,1855,1203
10,0,1430,2088
10,1,1855,1203
11,0,1430,2088
11,1,1855,1203
12,0,1430,2088
12,1,1855,1203
13,0,1430,2088
13,1,1855,1203
14,0,1380,2088
14,1,2005,1528
15,0,1380,2088
15,1,2005,1528
16,0,1380,2088
16,1,2005,1528
17,0,1380,2088
17,1,2005,1528
18,0,1380,2088
18,1,2005,1528
19,0,1380,2088
19,1,2105,1928
20,0,1380,2088
20,1,2105,1928
21,0,1380,2088
21,1,2105,1928
22,0,1380,2088
22,1,2105,1928
23,0,1380,2088
23,1,2105,1928
24,0,1380,2088
24,1,2105,1928
25,0,1380,2088
25,1,2105,1928
26,0,1380,2088
